data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
9-jun-00,9,6,2000,1,14,B,Tropidurus_torquatus,1p,1_,1,NA,,2.80,28.00,25.20,84.50,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
9-jun-00,9,6,2000,1,16,B,Tropidurus_torquatus,2p,2_,2,NA,,2.80,4.50,1.70,40.50,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
12-jun-00,12,6,2000,1,11,C,Tropidurus_torquatus,3p,3_,3,NA,,3.00,27.00,24.00,91.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
13-jun-00,13,6,2000,1,1,B,Tropidurus_torquatus,4p,4_,4,NA,,3.00,5.25,2.25,43.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
14-jun-00,14,6,2000,1,13,B,Tropidurus_torquatus,5p,5_,5,NA,,3.00,30.50,27.50,97.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
14-jun-00,14,6,2000,1,16,B,Tropidurus_torquatus,6p,6_,6,NA,,3.00,21.00,18.00,82.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
16-jun-00,16,6,2000,1,16,A,Tropidurus_torquatus,7p,7_,7,NA,,2.75,5.75,3.00,44.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
19-jun-00,19,6,2000,1,14,M,Tropidurus_torquatus,1p,1_,1,NA,recaptura,3.00,27.50,24.50,84.50,NA,NA,NA,NA,NA,IBGE,recaptura,1,1,,
23-jun-00,23,6,2000,1,17,M,Tropidurus_torquatus,1a4p3p2p,10_4_3_2_,14,NA,,3.00,6.50,3.50,46.50,NA,NA,NA,NA,NA,IBGE,3p2p cortados na ponta,1,1,,
27-jun-00,27,6,2000,1,13,M,Tropidurus_torquatus,8p,8_,8,NA,,4.25,38.00,33.75,98.50,NA,NA,NA,M,NA,IBGE,"macho, manchas femurais e anais",1,1,,
30-jun-00,30,6,2000,1,15,A,Tropidurus_torquatus,9p,9_,9,NA,,3.00,8.00,5.00,56.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
4-jul-00,4,7,2000,2,4,A,Tropidurus_torquatus,1a,10_,10,NA,,4.50,7.00,2.50,42.00,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
10-jul-00,10,7,2000,2,17,C,Tropidurus_torquatus,1a1p,10_1_,11,NA,,4.50,39.00,34.50,100.00,NA,NA,NA,NA,NA,IBGE,manchas femorais abdomnais e anais:macho,1,1,,
10-jul-00,10,7,2000,2,18,A,Tropidurus_torquatus,1a2p,10_2_,12,NA,,4.50,34.50,30.00,97.00,NA,NA,NA,M,NA,IBGE,macho,1,1,,
10-jul-00,10,7,2000,2,3,A,Tropidurus_torquatus,1a3p,10_3_,13,NA,,4.50,10.00,5.50,53.50,NA,NA,NA,F,NA,IBGE,fêmea,1,1,,
12-jul-00,12,7,2000,2,16,A,Tropidurus_torquatus,1a5p,10_5_,15,NA,,NA,NA,NA,59.00,NA,NA,NA,NA,NA,IBGE,cicatriz do cordão,1,1,,
12-jul-00,12,7,2000,2,4,A,Tropidurus_torquatus,1a6p,10_6_,16,NA,,4.50,45.50,41.00,106.50,NA,NA,NA,M,NA,IBGE,"macho:manchas femorais abdominais e anais muito pretas, ponta da cauda necrosando",1,1,,
12-jul-00,12,7,2000,2,4,A,Tropidurus_torquatus,1a7p,10_7_,17,NA,,4.50,22.50,18.00,81.50,NA,NA,NA,F,NA,IBGE,fêmea: manchas femorais e anais amarelas,1,1,,
19-jul-00,19,7,2000,2,2,C,Tropidurus_torquatus,1a8p,10_8_,18,NA,,4.50,9.50,5.00,51.50,NA,NA,NA,NA,NA,IBGE,cicatriz no cordão,1,1,,
21-jul-00,21,7,2000,2,2,B,Tropidurus_torquatus,1a8p,10_8_,18,NA,recaptura,NA,NA,NA,NA,NA,NA,NA,NA,NA,IBGE,recaptura; cicatriz no cordão,1,1,,
21-jul-00,21,7,2000,2,4,M,Tropidurus_torquatus,1a9p,10_9_,19,NA,,4.50,6.50,2.00,46.50,NA,NA,NA,NA,NA,IBGE,perdeu toda cauda. começando a regenerar Cicatriz no cordão,1,1,,
21-jul-00,21,7,2000,2,15,C,Tropidurus_torquatus,2a,20_,20,NA,,4.50,21.50,17.00,82.50,NA,NA,NA,NA,NA,IBGE,NA,1,1,,
24-jul-00,24,7,2000,2,18,A,Tropidurus_torquatus,2a1p,20_1_,21,NA,,NA,NA,NA,46.50,NA,NA,NA,NA,NA,IBGE,cicatriz do cordão. Fugiu antes do peso,1,1,,
31-jul-00,31,7,2000,2,14,M,Tropidurus_torquatus,2a2p,20_2_,22,NA,,5.00,8.50,3.50,51.50,NA,NA,NA,NA,NA,IBGE,cicatriz do cordão,1,1,,
